youtube_id,source,title
7LFL7rmStyE,channel,25-Feb-2026 | సంపూర్ణ రాత్రి ప్రార్థన | Spiritual Warfare Series | Apostle Dr AS Ranjeet Ophir
hf-nrT4HgYE,channel,23-Feb-2026 | నారాయణఖేడ్ AFGC 5వ వార్షికోత్సవ సభ | Apostle Dr AS Ranjith Ophir
kR2v-Se0N_k,channel,23-Feb-2026 | నారాయణఖేడ్ AFGC 5వ వార్షికోత్సవ సభ | Apostle Dr AS Ranjith Ophir
rd1SlXCR2yA,channel,22-Feb-2026 | Sunday Service | Second Message | Central Church | Apostle Dr AS Ranjith Ophir
M4tIaS_BMW8,channel,22-Feb-2026 | Sunday Service | First Message | Central Church | Apostle Dr AS Ranjith Ophir
8qqzF4hK9Cw,channel,"20-Feb-2026 | కృతజ్ఞత కుడిక | Double Bedrooms, Nizampet | Apostle Dr AS Ranjeet Ophir"
LaoZjsnC4xs,channel,#ksm: 263: Ksheerasagara Madhanam क्षीरसागर मंथन #QandA Ranjith Ophir l Mark Babu 21-02-2026
U-aww0_TBUo,channel,21-Feb-2026 | విజ్ఞాపన ప్రార్ధన సందేశం | Intercessory Prayer | Apo Dr AS Ranjeet Ophir
hDqD4vaLrWY,channel,20-Feb-2026 | సంపూర్ణ రాత్రి ప్రార్థన | Spiritual Warfare Series | Apostle Dr AS Ranjeet Ophir
t4FQog9RmH4,channel,20-Feb-2026 | కరుణించి తిరిగి సమకూర్చు ప్రభువా | Ranjith Ophir Songs | Apostle Dr AS Ranjeet Ophir
dk0md6AvfZQ,channel,18-Feb-2026 | కర్మేలు ప్రార్ధన సందేశం | Central Church | Apostle Dr AS Ranjith Ophir
JIpMwnb_bY0,channel,15-Feb-2026 | Sunday Service | Second Message | Central Church | Apostle Dr AS Ranjith Ophir
NiKZzIOH2U0,channel,15-Feb-2026 | Sunday Service | First Message | Central Church | Apostle Dr AS Ranjith Ophir
Wp5dpB0RDBA,channel,#ksm: 262: Ksheerasagara Madhanam क्षीरसागर मंथन #QandA Ranjith Ophir l Mark Babu 14-02-2026
4cWHTDtzCg8,channel,07-Jan-2026 | కర్మేలు ప్రార్ధన సందేశం | Carmel Prayer | Central Church | Apo Dr AS Ranjeet Ophir
uMR4WtH-_wM,channel,12-02-2026 | Sowmya Weds Gopi | Apostle Dr AS Ranjith Ophir
mDNLY6koGks,channel,12-02-2026 | !| Apostle Dr AS Ranjith Ophir
vAZNYlvcZl8,channel,11-02-2026 | కీర్తి శేషులు పోలుమాటి రామచంద్రం( జాన్ ) జ్ఞాపకార్ధ కూడిక!| Apostle Dr AS Ranjith Ophir
KJQD5Ryf6Yo,channel,10-Feb-2026 | సంఘ క్షేమాభివృద్ధి కూడిక! | Apostle Dr AS Ranjith Ophir
7K255Xb0HM8,channel,10-Feb-2026 | ఏలూరు పట్టణ సేవకుల సదస్సు | Apostle Dr AS Ranjith Ophir
M3KYN_IiXtQ,channel,08-Feb-2026 | Sunday Service | Second Message | Central Church | Apostle Dr AS Ranjith Ophir
eDtX-qB__EU,channel,08-Feb-2026 | Sunday Service | First Message | Central Church | Apostle Dr AS Ranjith Ophir
uxwZ0kDtx1g,channel,#ksm: 261: Ksheerasagara Madhanam क्षीरसागर मंथन #QandA Ranjith Ophir l Mark Babu 07-02-2026
3pEtHwGqF10,channel,05-Feb-2026 |  తెలంగాణ రాష్ట్ర అభిషిక్త దైవజనుల సహవాసము!  |  Apostle Dr AS Ranjith Ophir
Jc3tZtq21Js,channel,02-Feb-2026 | Emmanuel Weds Abshi's  Wedding Ceremony  | Apostle Dr AS Ranjith Ophir
I-T2SPs72HI,channel,01-Feb-2026 | Thanks Giving Prayer| Central Church | Apostle Dr AS Ranjith Ophir
X4GATgX12MI,channel,01-Feb-2026 | Sunday Service | Second Message | Central Church | Apostle Dr AS Ranjith Ophir
nBAFeaGs4qE,channel,ఆత్మాభిమానమా? అహంకారమా?
WnEwbGWl74I,channel,01-Feb-2026 | Sunday Service | First Message | Malkajgiri Church | Apostle Dr AS Ranjith Ophir
CII9DcuE1KM,channel,#ksm: 260: Ksheerasagara Madhanam क्षीरसागर मंथन #QandA Ranjith Ophir l Mark Babu 31-01-2026
0TfcoopTfXQ,channel,యూత్ మీటింగ్ లో కూరగాయలు కట్ చేయవద్దు అన్నవారికి ఓఫీర్ గారి సమాధానం!
bBZTJfNRpSY,channel,కనువిప్పు!! | SKIT | Agape Young Lions Youth Retreat | 26-Jan-2026
Hoe8kXMjs3Y,channel,26-Jan-2026 | 77th Republic Day Celebrations | Nizampet Church Grounds
0A3cqrBlS04,channel,26-Jan-2026 | Agape Young Lions Youth Retreat | Session 2 | Ophir Ministries
pcPc_zqE1sc,channel,26-Jan-2026 | Agape Young Lions Youth Retreat | Session 1 | Ophir Ministries
StljJI-i8Uo,channel,25-Jan-2026 | Sunday Service | Second Message | Central Church | Apostle Dr AS Ranjith Ophir
PzqlC5XgydI,channel,#ksm: 259: Ksheerasagara Madhanam क्षीरसागर मंथन #QandA Ranjith Ophir l Mark Babu 24-01-2026
zT5WUdZ8qoY,channel,18-Jan-2026 | Sunday Service | Second Message | Central Church | Apostle Dr AS Ranjith Ophir
5YrUy8-lrb0,channel,18-Jan-2026 | Sunday Service | Second Message | Central Church | Apostle Dr AS Ranjith Ophir
fObdoMHXe1Y,channel,15-Jan-2026 | William Weds ludhiyaa's Wedding Ceremony | Nizampet | Ophir Ministries
